row,comment,is_NL
188,"Function to read in the HID report descriptor from the attached device, and process it into easy-to-read structures via the HID parser routines in the LUFA library.",1
189,"Issues a SCSI Request Sense command to the attached device, to determine the current SCSI sense information. This gives error codes for the last issued SCSI command to the device.",1
190,Function to send the given encapsulated RNDIS command to the device.,1
192,Boundary matrices that store the shape information of a cell complex.,1
193,The destructor is doing nothing in particular.,1
194,set QGLViewer state from string (XML); QGLVIewer normally only supports loading state from file.,1
195,Null constructor.  This constructor should only be used by containers.,1
196,Null constructor.  This constructor should only be used by containers.,1
197,"Template class for ""strongly-typed"" integers, in other words, integers that have different semantic meaning and cannot be easily used in place of one another.",1
198,"Permanent files used by SArray can be removed when user saves a SArray to a directory where there is already a SArray saved there. In case there is some SArray actively referencing the files in the directory, we will delay deletion of those files until nobody is referencing those files. new files will be created under the directory to save the new SArray and the directory index will correctly point to the new files. The pool itself keeps a weak pointer to the file_handle object so the files can be deleted when all SArrays referencing the file are gone.",1
199,"this specialization is needed in order to not confused the compiler ""error: ISO C++ forbids zero-size array"" when compiling Mul3Big2() method",1
200,communication queue pair between main thread and pseudo thread,1
201,"Each template instantiation provides its own implementation delegate, which in turn provides implementation of the appropriate interface methods. These methods are all then statically bound by inheritance, so there is no need for providing virutals. Each template instantiation provides its own implementation delegate, which in turn provides implementation of the appropriate interface methods. These methods are all then statically bound by inheritance, so there is no need for providing virutals. Each template instantiation provides its own implementation delegate, which in turn provides implementation of the appropriate interface methods. These methods are all then statically bound by inheritance, so there is no need for providing virutals.",1
202,Initializes the class from a 2-D vector X.,1
203,"VBOs provide an interface to access these buffers in a similar fashion to vertex arrays. Hints of 'target' and 'mode' help the implementation determine whether to use system, AGP or video memory. Unlike display lists, the data in vertex buffer object can be read and updated by mapping the buffer into client's memory space.",1
205,Can build unit here. Hall too near to goldmine. Refinery or shipyard too near to oil patch.,1
206,The random placer for multilevel layout.,1
214,"Checks for movement of the board's joystick, and sends corresponding MIDI note on/off messages to the host.",1
216,The code location constraint influences how the wide and square code location areas are interpreted.,1
218,Base class for implementation of control algorithms.,1
220,Class enforces GLC on atomic forces based on FE power when using fractional step time integration in conjunction with time filtering.,1
221,represents saved numbers from the counters we are interested in,1
222,Internal function to stop and unload the currently playing video.,1
223,Iteratively returns all of the animation engines which are part of the named animation. Usually the name of an animation is the base filename of the file it came from (without extension and directory).,1
224,J2000.0 Earth ecliptic frame.,1
225,Manages the lifecycle of a user defined state. A state has its own scene that is rendered while the state is at the top of the stack. Applications should inherit from states and override the lifecycle delegates to load/display resources and manage game logic. States also have state systems thats lifecycles are governed by the state.,1
226,Called when the application is suspended. This is also called when the application is exiting just prior to calling On Destroy. System suspend is called in the reverse order to which they were created.,1
228,Stores the initial colour and generates a target colour for the activated particle so it can be used to generate the interpolated colour during updates.,1
232,"Color scheme determines 3d structure coloring style. For example, we could use colors to mark chemical elements or secondary structure.",1
233,"Task that runs a function on each block a matrix that (1) is partioned by row, (2) has row factors that are also partitioned by row, (3) has column factors that are stored on every node.",1
240,Functions for rounded Mohr-Coulomb potential function.,1
241,"this specialization is needed in order to not confused the compiler ""error: ISO C++ forbids zero-size array"" when compiling Mul3Big2() method",1
242,Private default constructor. It is private because we do not want the application to directly create the access-point objects. Only the Symmetric NBB class can create them. Each Symmetric NBB object has a consumer access point and application can access it.,1
243,Informs application about internal HRC parsing problems.,1
244,Virtual destructor to avoid compiler warnings,1
245,"Useful for situation were many space related query are issued over the same dataset (ray tracing, measuring distances between meshes, re-detailing ecc.). Works well for distribution that ar reasonably uniform. How to use it: ContainerType must have a 'value_type' typedef inside. (stl containers already have it) Objects pointed by cells (of kind 'value_type') must have a 'ScalarType' typedef (float or double usually) and a member function: void GetBBox(Box3<ScalarType> &b) which return the bounding box of the object bool operator () (const ObjType & obj, const Point3f & point, ScalarType & mindist, Point3f & result); which return true if the distance from point to the object 'obj' is < mindist and set mindist to said distance, and result must be set as the closest point of the object to point)",1
246,Allocate all memory for MPI control class.,1
247,Exception type for UKP instance read errors.,1
248,A plugin error is thrown by plugins and caught inside dlvhex.,1
249,"We have virtual functions, so need a virtual destructor",1
252,This class represents a Vulkan render pass.,1
254,Move animation of a creature.,1
255,"gets data from multiple input files, and output in a real time manner to output files, using timestamps",1
256,"SIMD implementation of the double precision complex vector type of 2 complex numbers, only for AVX Apply2x2.",1
257,Keep a reference of the daemon core,1
258,Use this constructor to reconstruct the message from a buffer.,1
259,empty virtual destructor,1
261,prevents that this class can be instantiated,1
262,Thrown for Invalid EPUB errors while loading and parsing content files.,1
263,A helper for PCI config space access.,1
264,"X86/X64 instruction emit options, mainly for internal purposes.",1
266,This is the most important class of the Irrlicht Engine. You can access everything in the engine if you have a pointer to an instance of this class.,1
267,Each instruction contains a pointer to the basic block it is attached to. Each instruction has an ID unique in the method it belongs to.,1
268,"The class acts mostly as a namespace around the constants. It's not supposed to create instances of the class, and all its members are static. The names are quite self-descriptive. rt_ prefix stands for 'runtime'.",1
269,"This is an asynch non-blocking API. NOTE: RK_MSG_FREE and RK_MSG_COPY are mutually exclusive. If the function returns an error code and RK_MSG_FREE was specified, then the memory associated with the payload is still the caller's responsibility.",1
270,defines and executes the calibration script,1
271,"this is expected to be used for calibrating a target The macro takes a child and a parent link, and defines the following joints {child}_x_joint: {child}_y_joint: {child}_z_joint: {child}_yaw_joint: {child}_pitch_joint: {child}_roll_joint: it is expected that the launch file for the workcell will include a mutable_joint_state_publisher and that these joints are defined in the file whose name is held in the mutableJointStateYamlFile parameter push updates the joint states by calling the set_mutable_joint_states service pull listens to the joint states by calling the get_mutable_joint_states service, and computes the transform store updates the yaml file by calling the store_mutable_joint_states service intermediate transform is identity",1
274,Flag denotes whether attribute is valid or not.,1
277,Registers the deallocation event and returns its number,1
281,"Perform your work as fast as possible, do not block.",1
286,"Uses reduce function to extract the top, front and side views of the object with the help of the reference points. Restores the object to its original configuration before returning. Side view containing lesser hidden lines is chosen.",1
287,data display on screen,1
289,The state in this class is used to keep track of association status if we are in an infrastructure network and to perform the selection of tx parameters on a per-packet basis. This class is typically subclassed and extended by rate control implementations,1
290,"This class provides an implementation-independent API for file ""Export"" dialogs. Saving as these types will not affect the original file.",1
291,Shades a scene using the Gourard shading approach.,1
293,Disable SPI interrupts (if supported) This can be used to diable the SPI interrupt in slaves where that is supported.,1
295,"default constructor. Creates an empty, useless object to facilitate STL containers of this object.",1
296,"Some features are global across Endpoints; they are provided here. Other features are specific to connectionless and connection-based Endpoints, which are handled by separate object definitions.",1
297,is the default execution space initialized for current 'master' thread,1
298,Function that gets called just before the application quits.,1
300,Requesting a reset can have several reasons. The most trivial is that a mission is completed and another one is about to start. Processing thread will execute as soon as the current image is done.,1
301,Prototype for a function to update the agent.,1
302,Get raw position for Attribute Key in Incoming Buffer,1
305,Contains information about the invitation that was sent or received when a file transfer was initiated.,1
306,Represents a connection to another users computer for the purpose of transferring a file.,1
307,Return the list of locations/places corresponding to the given IATA/ICAO codes or Geonames IDs.,1
308,"Primitive type that wraps a facet handle of a polyhedron, which is used as id, and allows the construction of the datum on the fly. Since only the facet handle is stored in this primitive, the polyhedron from which the AABB tree is built should not be deleted while the AABB tree is in use.",1
309,"Usage: Using object must create an instance of this class, and then call start() with its callback function as argument (see start() for more details). To stop the thread execution, call stop(). The thread callback function itself has 2 parameters: endThisThread: A bool flag that may be set by the callback function to ""false"" in case the thread function decides this thread needs to end. sleepTimeMs: The sleep time, in ms, that will be spent between subsequent calls to the callback function. Default is 10 ms, but other times may be set. Note that not all operating systems may be able to schedule very short sleep times.",1
310,"Sends a given PIMA command to the attached device, filling out the PIMA command header's Transaction ID automatically.",1
312,"Retrieves the total capacity of the attached USB Mass Storage device, in blocks, and block size.",1
316,Weighted edge struct. Holds indices of the vertices forming the edge and the weight of the edge.,1
321,"class which allows the Gipsa/Listic Labs model to be used. This retina model allows spatio-temporal image processing (applied on still images, video sequences). As a summary, these are the retina model properties: => It applies a spectral whithening (mid-frequency details enhancement) => high frequency spatio-temporal noise reduction => low frequency luminance to be reduced (luminance range compression) => local logarithmic luminance compression allows details to be enhanced in low light conditions USE : this model can be used basically for spatio-temporal video effects but also for : _using the getParvo method output matrix : texture analysiswith enhanced signal to noise ratio and enhanced details robust against input images luminance ranges _using the getMagno method output matrix : motion analysis also with the previously cited properties",1
325,Controls how many Fruits are there and how they're spawned.,1
326,"Updates internal fruits, adding them to the #board and making sure it doesn't touch #player.",1
329,Assigns the variable to its bound with minimum weight for some weight matrix.,1
330,Assigns the variable to its value with minimum weight for some weight matrix. Assumes that the variable is Boolean,1
332,Key sync filter. Filter to synchronize the keys of a set of animation curves.,1
333,"It's in charge of the handling of the process related to the two interpreters availables: MATLAB and GNU Octave. It manages their inputs and outputs, and emits signals whenever there is a change in the status of the process.",1
335,abstract base class for everything in the simulation model,1
336,Compute the overlap integrals in a Gaussian orbital basis.,1
338,Constructor creating a D-Bus service for the Backend Starter service.,1
340,The class is a little limiting: The target is supposed to be square such that each row has the same number of points. Points along a row are supposed to be colinear. Points along a column are supposed to be colinear.,1
343,Derivative classes should override this function.,1
346,Each function object compares two of the same object and returns the most desirable one.,1
347,Subclasses of this class will fill in appropriate methods.,1
348,Launch a weather update.,1
354,A class for the RTS_POLYDATA message type.,1
355,Gets the 4-by-4 transformation matrix.,1
356,This class is for LIVECONTEXT recording only.,1
357,Close a capture stream,1
361,compares two values,1
362,compares two values,1
363,Offers basic functions to set the precision etc.,1
365,This function will parse Size and Position nodes.,1
367,"This interface is made to be used by an iterative approach to do TimeOfImpact calculations This interface allows to query for closest points and penetration depth between two (convex) objects the closest point is on the second object (B), and the normal points from the surface on B towards A. distance is between closest points on B and closest point on A. So you can calculate closest point on A by taking closestPointInA = closestPointInB + m_distance * m_normalOnSurfaceB",1
368,Continues until a number of evaluations has been made,1
372,Abstraction of path validation Instances of this class compute the latest valid configuration along a path.,1
373,Create new intance of layer.,1
374,"Decode one audio frame and return its uncompressed size. The processed audio frame is decoded, converted if required, and stored in is->audio_buf, with size in bytes given by the return value.",1
375,A pure virtual class that is used to encrypt a PDF file (AES-256) This class is the base for classes that implement algorithms based on SHA hashes,1
376,spice_get_option_group: Gets commandline options. Bindings for other languages are available since 0.32 Returns: (transfer full): a #GOptionGroup for the commandline arguments specific to Spice. You have to call spice_set_session_option() after to set the options on a #SpiceSession.,1
380,Read an existing component tree from disk.,1
382,Default constructor. The creation of a command should NOT execute the command yet. The execute() method needs to be called explicitly to do so.,1
385,Render a single character of the font. The modelview transform is automatically updated to advance to the next character.,1
388,This class is designed to support reuse of a single instance to read multiple geometries. This class is not thread-safe; each thread should create its own instance.,1
389,Do the line search.,1
391,Goes through all paths stored in this O-D set and recalculates their costs. It also updates current minimum path cost.,1
392,This class implements main steps of the framework for origin-based algorithms.,1
393,Performs an undo operation of a stage move.,1
394,Undo/Redo operation for adding material folders,1
397,"Callbacks in this class generally have the option of servicing the request synchronously or asynchronously. In other words, they can either perform the operation immediately, while blocking the request processor from sending a response. Or, they can defer immediate processing and tell the request processor that another entity will take care of generating the response. It is a best practice to only synchronously perform actions if they can be done quickly. This way, the request processor thread won't be blocked from servicing additional requests. Of course, if the request processor and whatever is eventually servicing the request are on the same thread, it doesn't make sense to use asynchronous servicing.",1
398,Perform one of the tasks.,1
399,Update. This method is called one time per step. The set of all Actions is updated in forward order.,1
401,"Flag that determines when the k-means clustering must be stopped. If type_ equals COUNT then it must be stopped when the max number of iterations will be reached. If type_ eaquals EPS then it must be stopped when the desired accuracy will be reached. These flags can be used together, in that case the clustering will be finished when one of these conditions will be reached.",1
402,"This is a class to read and parse ocean tides harmonics data in BLQ file format. Ocean loading displacement models usually use the ocean tide harmonics in order to compute station biases due to this effect. A common format to encode such information is the so-called BLQ format, where each station name is associated to a matrix with 11 columns (corresponding to the most important harmonics) and six rows: Three for amplitudes (radial, west, south), and three for phases (radial, west, south). You may find this data using the ""Ocean tide loading provider"" at: A typical way to use this class follows: The eleven tide harmonics used are:",1
404,Struct for capturing change counts in elements.,1
405,A selector that selects H-refinements only.,1
410,Validate a given process service s. Events are posted according to its configuration. In case of a fatal event false is returned.,1
413,Special content store realization that probabilistically accepts data packet into CS (placement policy),1
415,socket address that describes an IPv6 address,1
416,"This class is parametrized over the type of the input image and the type of the output image. The input is assumed to be a binary image. All non-zero valued voxels are set to 1 internally to simplify the computation. The filter will produce a skeleton of the object. The output background values are 0, and the foreground values are 1. A 26-neighbourhood configuration is used for the foreground and a 6-neighbourhood configuration for the background. Thinning is performed symmetrically in order to guarantee that the skeleton lies medial within the object. This filter is a parallel thinning algorithm and is an implementation of the algorithm described in: To do: Make use of multi-threading.",1
417,The vesselness measure is based on the analysis of the the Hessian eigen system. The vesseleness function is a smoothed (continuous) version of the Frang's vesselness function. The filter takes an image of a Hessian pixels ( SymmetricSecondRankTensor pixels ) and produces an enhanced image. The Hessian input image can be produced using itkHessianSmoothedRecursiveGaussianImageFilter.,1
418,A dialog for HFOV Also allows cancellation,1
420,remove an image from a panorama,1
421,Called when the algorithm got cancelled; override with cleaning up process etc. the default implementation does nothing.,1
423,construct transform for rectangular to equirectangular.,1
425,"functor to create a remapped image, loads image from disk",1
426,implements a stitching algorithm,1
427,"Set the image size in pixels If we aren't cropping the image, set the size to the entire image",1
430,Returns the root element which contains all scene windows.,1
431,This functor provides an abstract functor to produce new singleton wrappers,1
432,represents saved numbers from the counters we are interested in,1
433,"Set view to fit a given bounding box and refresh display. The X/Y scale aspect lock is taken into account. If provided, the parameters printSizeX and printSizeY are taken as the DC size, and the pixel scales are computed accordingly. Also, in this case the passed borders are not saved as the ""desired borders"", since this use will be invoked only when printing.",1
434,Compute velocity integration to second order at the end of the step by adding a second order correction term. The full integration becomes $v(t+dt) = v(t) + 0.5*(a(t) + a(t+dt))*dt$.,1
435,The Tensor class encompasses only dynamic-size objects so far.,1
437,"Read 4 byte length from a stream (until EOF) and store it in the len field of a newly-allocated zstr, then read leb bytes into the buf field. This does nothing with the fp argument except call fread(), and ferror() on it, therefore it reads from whereever fp is currently set to the end of fp. It does not fclose() fp after it is done. fp must not be NULL.",1
439,The function is called by the test engine before sending the clock rate set command and testing the received values.,1
440,The function is called by the test engine before sending the performance limits set command and testing the received values.,1
441,The function is called by the test engine before sending the power state get command and testing the received values.,1
442,The function is called by the test engine before sending the sensor trip point notify command and testing the received values.,1
447,A uniform random number generator,1
448,The OSC callback method where the incoming OSC data is received,1
449,"The convergence is evaluated by looking at the two norm of the differences between each data value from the new and old data set. If the two norm is equal or below a given percentage of the norm of the old data set, convergence is achieved.",1
